dates,India.Google_GroceryMobility.data,India.Google_ResidentialMobility.data,India.Google_TransitStationsMobility.data,India.Google_ParksMobility.data,India.Google_WorkplacesMobility.data,India.Google_RetailMobility.data
2020-07-14,101.0,113.88235294117646,77.56,69.37931034482759,78.66666666666667,50.2
2020-07-15,101.6875,114.42105263157895,80.53571428571429,69.09677419354838,81.24,49.925925925925924
2020-07-16,101.88461538461539,116.11764705882354,80.07407407407408,67.63636363636364,81.82608695652173,50.34782608695652
2020-07-17,105.18518518518519,115.8,79.17857142857143,76.28,81.27586206896552,50.958333333333336
2020-07-18,95.60714285714286,115.89473684210526,78.07692307692308,70.03225806451613,84.85714285714286,46.92
2020-07-19,82.51724137931035,115.0625,69.62962962962963,64.2,91.75,39.48148148148148
2020-07-20,100.79310344827586,115.36842105263158,81.0,66.61290322580645,79.91666666666667,52.64
2020-07-21,97.38709677419355,115.0,77.77777777777777,68.10344827586206,78.0,50.26086956521739
2020-07-22,,,,,,
2020-07-23,,,,,,
2020-07-24,,,,,,
2020-07-25,,,,,,
2020-07-26,,,,,,
2020-07-27,,,,,,
2020-07-28,93.14814814814815,116.29411764705883,76.46153846153847,66.87096774193549,76.5925925925926,49.21739130434783
2020-07-29,96.92857142857143,115.55555555555556,75.06896551724138,68.9,77.875,47.964285714285715
2020-07-30,100.25,115.06666666666666,77.96296296296296,67.06060606060606,77.91304347826087,51.68181818181818
2020-07-31,106.10714285714286,114.57894736842105,82.92,75.62068965517241,77.84615384615384,52.61538461538461
2020-08-01,86.21428571428571,114.875,69.03571428571429,65.2,70.07407407407408,41.206896551724135
2020-08-02,89.96428571428571,112.26315789473684,70.84615384615384,65.07142857142857,90.57142857142857,43.08
2020-08-03,97.03448275862068,114.1875,75.08,70.1470588235294,66.5,50.25
2020-08-04,95.65517241379311,114.17647058823529,77.08,68.625,76.18518518518519,50.92
2020-08-05,86.64,114.3157894736842,71.92,60.774193548387096,76.32142857142857,48.18518518518518
2020-08-06,93.07692307692308,114.29411764705883,79.22727272727273,61.12903225806452,80.25,54.31578947368421
2020-08-07,100.18518518518519,112.17647058823529,84.9090909090909,68.0909090909091,83.48148148148148,56.34782608695652
2020-08-08,86.63333333333334,113.0,73.92307692307692,62.294117647058826,81.04347826086956,47.958333333333336
2020-08-09,77.45161290322581,111.75,68.83333333333333,64.03703703703704,96.44,45.04761904761905
2020-08-10,103.29032258064517,112.625,81.65384615384616,64.73529411764706,81.89285714285714,58.81481481481482
2020-08-11,101.75,112.23529411764706,88.6842105263158,67.9,81.8076923076923,60.608695652173914
2020-08-12,94.22727272727273,114.47058823529412,77.75,64.16129032258064,73.4,56.27272727272727
2020-08-13,96.96153846153847,112.875,81.9047619047619,65.3,81.34482758620689,56.54545454545455
2020-08-14,103.16,112.66666666666667,87.0952380952381,68.09677419354838,85.26666666666667,59.56
2020-08-15,80.83870967741936,115.17647058823529,69.0,64.7,66.58620689655173,45.72
2020-08-16,79.8,110.57142857142857,71.95652173913044,63.629629629629626,98.0,44.34615384615385
2020-08-17,105.35714285714286,111.4375,82.91666666666667,67.5625,83.96153846153847,60.75
2020-08-18,99.34482758620689,112.93333333333334,86.15,68.16129032258064,83.26923076923077,59.84615384615385
2020-08-19,101.37931034482759,111.625,82.73913043478261,70.25806451612904,81.8076923076923,59.96296296296296
